sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.002438,-0.500383,-0.49811,0.581446,-0.429466,-0.118532,1.012164,-0.494098,-0.50023,0.570427,-0.424913,-0.129123,1.004379,-0.4974,-0.501496,0.573348,-0.437752,-0.142205,0.998857,-0.496988,-0.499306,0.571238,-0.448919,-0.124453
1,1.004284,-0.47947,-0.515088,0.574369,-0.427041,-0.135001,1.005354,-0.475408,-0.515977,0.578034,-0.445872,-0.129114,1.002781,-0.479331,-0.517979,0.559998,-0.427532,-0.153391,0.995312,-0.479368,-0.512985,0.582564,-0.433066,-0.143502
2,1.000934,-0.465493,-0.532713,0.57067,-0.407816,-0.149435,1.000711,-0.464488,-0.522232,0.590578,-0.42345,-0.137864,0.99945,-0.459959,-0.531517,0.579533,-0.430165,-0.141127,0.997491,-0.472248,-0.535353,0.583781,-0.421624,-0.163632
3,0.997627,-0.447813,-0.543935,0.568903,-0.410096,-0.165723,0.999535,-0.447663,-0.545304,0.588159,-0.418524,-0.158666,1.004615,-0.44223,-0.550426,0.574798,-0.423849,-0.15999,0.997515,-0.45217,-0.548518,0.566378,-0.419099,-0.155012
4,0.998482,-0.433506,-0.562944,0.583761,-0.391317,-0.17606,0.99628,-0.434159,-0.554247,0.574608,-0.418745,-0.177263,0.998852,-0.42865,-0.55709,0.597563,-0.398878,-0.174961,1.000502,-0.437648,-0.567191,0.594812,-0.410879,-0.163564
5,0.999788,-0.422005,-0.577056,0.587799,-0.373687,-0.188307,0.999827,-0.42019,-0.585433,0.569959,-0.399058,-0.185883,0.994896,-0.423607,-0.576295,0.579127,-0.40256,-0.167863,1.002957,-0.414526,-0.582449,0.58395,-0.413263,-0.204222
6,0.997553,-0.399057,-0.595909,0.608966,-0.40187,-0.187786,0.997461,-0.396937,-0.596729,0.583484,-0.375661,-0.193063,0.99712,-0.398843,-0.602411,0.585583,-0.368418,-0.200412,0.987454,-0.395315,-0.59447,0.586171,-0.399753,-0.201589
7,0.996039,-0.380861,-0.616927,0.576343,-0.385629,-0.212698,1.002636,-0.377807,-0.604921,0.581699,-0.373943,-0.203159,0.993754,-0.38178,-0.61137,0.585954,-0.393323,-0.221297,0.990818,-0.385472,-0.60926,0.582332,-0.38295,-0.218194
8,0.996721,-0.370404,-0.62332,0.576466,-0.393279,-0.226468,0.991559,-0.362437,-0.623172,0.569195,-0.393099,-0.209293,0.987297,-0.364071,-0.621753,0.5937,-0.374437,-0.210828,0.994125,-0.368786,-0.630284,0.600741,-0.365037,-0.216156
9,0.991042,-0.348324,-0.636842,0.581633,-0.364777,-0.226294,0.988733,-0.345064,-0.640123,0.583327,-0.372139,-0.244351,0.988426,-0.347409,-0.638083,0.607251,-0.340948,-0.242422,0.988044,-0.345657,-0.642775,0.599273,-0.368814,-0.225862
