sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.998812,-0.496084,-0.504075,0.614863,-0.493152,-0.130069,0.999922,-0.504793,-0.505123,0.618157,-0.496303,-0.147011,1.004168,-0.499049,-0.502551,0.617688,-0.45594,-0.14434,0.998698,-0.499326,-0.498659,0.642773,-0.482264,-0.145131
1,1.000414,-0.486005,-0.508827,0.636734,-0.463054,-0.159092,0.998404,-0.488071,-0.519633,0.650147,-0.460122,-0.162101,0.997919,-0.48583,-0.504194,0.635327,-0.479431,-0.160263,0.999845,-0.480213,-0.508044,0.622232,-0.460275,-0.162936
2,0.997237,-0.469142,-0.532514,0.626274,-0.472168,-0.171234,1.001183,-0.472584,-0.530844,0.629609,-0.450928,-0.159294,0.996598,-0.463964,-0.528783,0.644928,-0.45948,-0.174367,0.996568,-0.463396,-0.542769,0.646182,-0.485317,-0.16357
3,0.995622,-0.455079,-0.548068,0.6552,-0.447589,-0.176533,1.000014,-0.448969,-0.541984,0.639547,-0.478532,-0.172994,0.998596,-0.457802,-0.545564,0.629613,-0.453227,-0.156756,1.006916,-0.447464,-0.553769,0.618701,-0.470739,-0.202347
4,0.997193,-0.431442,-0.571478,0.638486,-0.436531,-0.177458,1.001991,-0.422916,-0.571747,0.633785,-0.442904,-0.202901,1.003234,-0.43068,-0.554857,0.636472,-0.434905,-0.173433,1.007453,-0.434552,-0.565899,0.643632,-0.440218,-0.19556
5,0.993062,-0.416623,-0.56944,0.635245,-0.449883,-0.19676,1.002904,-0.416591,-0.571015,0.637023,-0.415234,-0.190763,0.992111,-0.413283,-0.578525,0.656504,-0.445145,-0.205408,0.989027,-0.420158,-0.584604,0.645079,-0.447973,-0.221823
6,0.992903,-0.399836,-0.591897,0.631605,-0.43687,-0.23145,0.984673,-0.398842,-0.593253,0.649198,-0.4178,-0.21278,0.993072,-0.394276,-0.591756,0.641129,-0.412491,-0.203505,0.987672,-0.398545,-0.594489,0.636075,-0.419178,-0.207819
7,0.993652,-0.384483,-0.604952,0.641211,-0.426879,-0.242625,0.992846,-0.383314,-0.609066,0.62517,-0.415653,-0.219253,0.998696,-0.384573,-0.609612,0.646522,-0.426576,-0.222444,0.993757,-0.379972,-0.607223,0.657637,-0.426523,-0.211254
8,0.98224,-0.361173,-0.626634,0.649991,-0.421195,-0.24451,0.979035,-0.36576,-0.627466,0.644519,-0.399924,-0.236872,0.990677,-0.361416,-0.6176,0.655203,-0.416639,-0.22981,0.988663,-0.36765,-0.622921,0.659102,-0.399886,-0.229222
9,0.98076,-0.347919,-0.633234,0.640112,-0.39453,-0.232064,0.987177,-0.349924,-0.634226,0.644511,-0.397805,-0.261614,0.99685,-0.348474,-0.644501,0.629699,-0.378132,-0.244589,0.985241,-0.34165,-0.642479,0.636109,-0.383775,-0.253786
10,0.982923,-0.332625,-0.646598,0.63161,-0.380718,-0.258455,0.98105,-0.320856,-0.651243,0.632464,-0.38869,-0.259439,0.982789,-0.3278,-0.650138,0.652043,-0.390004,-0.278861,0.979658,-0.326434,-0.649492,0.653677,-0.389945,-0.264558
11,0.975731,-0.313191,-0.670957,0.647191,-0.387893,-0.279288,0.985781,-0.298005,-0.666512,0.634718,-0.365763,-0.271453,0.978482,-0.302882,-0.667424,0.661113,-0.391024,-0.253835,0.986634,-0.305682,-0.664616,0.657927,-0.37076,-0.263464
12,0.973789,-0.297356,-0.684653,0.640253,-0.361492,-0.269302,0.968845,-0.295123,-0.681177,0.663569,-0.352803,-0.293703,0.970236,-0.288986,-0.688138,0.656589,-0.348602,-0.285606,0.976008,-0.29113,-0.685779,0.643693,-0.365916,-0.253767
