sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.004028,-0.500782,-0.498779,0.657761,-0.505015,-0.145678,1.009316,-0.502697,-0.498398,0.674959,-0.530309,-0.167191,0.994042,-0.503399,-0.491019,0.658979,-0.511868,-0.151412,1.002677,-0.49448,-0.503594,0.667309,-0.516222,-0.164277
1,1.003429,-0.484679,-0.521355,0.672953,-0.495546,-0.167228,0.996753,-0.481195,-0.514178,0.68021,-0.505818,-0.173751,0.987892,-0.48658,-0.507443,0.671738,-0.515014,-0.17717,1.000637,-0.480311,-0.52091,0.669093,-0.509553,-0.174455
2,1.010156,-0.464333,-0.524889,0.679715,-0.485865,-0.186683,0.999492,-0.465949,-0.536584,0.667756,-0.472944,-0.180303,0.994546,-0.462374,-0.533229,0.662326,-0.490997,-0.188789,1.002422,-0.47401,-0.534062,0.670062,-0.492224,-0.182818
3,0.995719,-0.454661,-0.540854,0.676209,-0.487132,-0.178189,0.996646,-0.458721,-0.546318,0.693177,-0.494399,-0.201276,0.992613,-0.454326,-0.540646,0.679447,-0.486576,-0.190958,0.998013,-0.449638,-0.543569,0.680878,-0.489737,-0.188788
4,0.999913,-0.434368,-0.570805,0.676334,-0.444393,-0.203523,1.006968,-0.437948,-0.56651,0.674262,-0.46881,-0.212241,1.001125,-0.426724,-0.560707,0.673527,-0.488645,-0.217209,1.005686,-0.43192,-0.566951,0.673611,-0.498644,-0.19117
5,0.999661,-0.413282,-0.579876,0.689286,-0.459152,-0.203039,0.998252,-0.416095,-0.577169,0.673892,-0.465399,-0.226731,0.992954,-0.419847,-0.572968,0.657416,-0.483602,-0.198665,0.993672,-0.421686,-0.583304,0.675841,-0.462115,-0.199619
6,0.995321,-0.399655,-0.593471,0.699412,-0.444185,-0.227168,0.992433,-0.396171,-0.604692,0.68133,-0.456672,-0.217945,0.996733,-0.407407,-0.591302,0.695288,-0.471599,-0.237081,0.990197,-0.392557,-0.596698,0.668776,-0.451391,-0.229659
7,0.992313,-0.379481,-0.609568,0.693885,-0.464296,-0.258123,0.993089,-0.382309,-0.612031,0.686161,-0.440789,-0.237115,0.993521,-0.387148,-0.612103,0.690808,-0.450008,-0.251949,1.000526,-0.371223,-0.621569,0.684182,-0.443228,-0.248865
8,0.988437,-0.364643,-0.620945,0.691418,-0.421965,-0.237022,0.989314,-0.36405,-0.621359,0.693779,-0.434778,-0.261196,0.990709,-0.370476,-0.629104,0.695948,-0.441179,-0.234699,0.993438,-0.357904,-0.621291,0.663521,-0.432778,-0.232111
9,0.983152,-0.344851,-0.640515,0.68836,-0.419828,-0.25405,0.982696,-0.341086,-0.645158,0.69022,-0.434846,-0.266303,0.984586,-0.347105,-0.635919,0.683777,-0.419376,-0.259426,0.989289,-0.344036,-0.646336,0.694435,-0.432688,-0.261245
10,0.993708,-0.323187,-0.647039,0.673794,-0.418082,-0.276037,0.975293,-0.321892,-0.648767,0.68712,-0.398114,-0.282205,0.983659,-0.334317,-0.65572,0.68492,-0.427806,-0.289976,0.98102,-0.325997,-0.654587,0.708199,-0.410383,-0.284228
11,0.97457,-0.309286,-0.663126,0.712541,-0.412326,-0.296104,0.97549,-0.315832,-0.657445,0.674321,-0.406344,-0.285882,0.98063,-0.312044,-0.66333,0.694696,-0.411388,-0.314238,0.986224,-0.318803,-0.664891,0.708476,-0.396998,-0.291793
