sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.996203,-0.499913,-0.504678,0.435113,-0.335926,-0.10491,1.00895,-0.508102,-0.502496,0.448761,-0.333841,-0.108911,1.000573,-0.505977,-0.503755,0.434162,-0.33605,-0.092788,1.001601,-0.500731,-0.489014,0.433141,-0.336391,-0.082536
1,1.003348,-0.487822,-0.521199,0.434982,-0.31434,-0.127256,0.997422,-0.485303,-0.513896,0.440588,-0.322268,-0.120011,1.004845,-0.478561,-0.52639,0.44525,-0.339782,-0.116067,0.995576,-0.488072,-0.511585,0.41833,-0.34014,-0.122207
2,1.0026,-0.466569,-0.535968,0.443766,-0.338154,-0.13922,0.995587,-0.472619,-0.543303,0.41783,-0.331871,-0.095342,0.990646,-0.456594,-0.533408,0.435969,-0.318208,-0.123517,1.007527,-0.470407,-0.542198,0.437672,-0.321623,-0.110999
3,0.986033,-0.45325,-0.55185,0.445352,-0.31078,-0.145869,0.993674,-0.446308,-0.547017,0.454713,-0.313139,-0.12828,1.000769,-0.457638,-0.540619,0.456828,-0.320729,-0.120318,0.992746,-0.455949,-0.542545,0.448547,-0.310652,-0.133323
4,0.990358,-0.424504,-0.56003,0.453834,-0.308952,-0.138619,1.006652,-0.431075,-0.556866,0.428993,-0.323591,-0.127808,0.995655,-0.434635,-0.558739,0.451714,-0.318411,-0.145328,1.007304,-0.433106,-0.558898,0.443702,-0.322053,-0.14908
5,0.994161,-0.415115,-0.580778,0.435364,-0.327031,-0.147903,0.996623,-0.416029,-0.57615,0.47165,-0.320364,-0.148934,0.983547,-0.405477,-0.570547,0.443668,-0.304539,-0.143561,1.001776,-0.42464,-0.573815,0.446706,-0.307919,-0.145569
6,0.989222,-0.386836,-0.59752,0.463916,-0.289499,-0.154855,0.992889,-0.399142,-0.598757,0.463967,-0.297495,-0.155546,0.993448,-0.399025,-0.591082,0.4436,-0.309576,-0.160747,0.993963,-0.402962,-0.605601,0.433826,-0.287102,-0.15182
7,0.989288,-0.380703,-0.609361,0.44326,-0.308051,-0.172515,0.988772,-0.370018,-0.616884,0.456871,-0.285123,-0.174459,0.989861,-0.378518,-0.60417,0.44454,-0.292954,-0.139912,0.983112,-0.377649,-0.617296,0.449311,-0.306408,-0.146032
8,0.988342,-0.36479,-0.623745,0.441231,-0.302759,-0.156678,0.987417,-0.353017,-0.626422,0.459875,-0.292392,-0.152357,0.99153,-0.364555,-0.624425,0.450286,-0.296974,-0.175757,0.985362,-0.35779,-0.621634,0.444339,-0.291992,-0.169988
9,0.982217,-0.351799,-0.632376,0.449638,-0.26454,-0.168106,0.984997,-0.346339,-0.642657,0.4544,-0.262856,-0.172053,0.990649,-0.342851,-0.630636,0.462204,-0.300693,-0.180291,0.982267,-0.354971,-0.635688,0.477346,-0.267832,-0.178736
10,0.972915,-0.332071,-0.648818,0.463207,-0.271392,-0.184063,0.984864,-0.314946,-0.655623,0.48357,-0.26847,-0.203946,0.986202,-0.331237,-0.653101,0.452323,-0.275286,-0.175532,0.982193,-0.329126,-0.652718,0.458303,-0.261985,-0.18767
11,0.979277,-0.314368,-0.664258,0.449768,-0.254327,-0.195593,0.975062,-0.30324,-0.674962,0.463078,-0.278504,-0.18393,0.971061,-0.314872,-0.667984,0.439183,-0.268202,-0.186296,0.981803,-0.304259,-0.661092,0.469885,-0.263834,-0.191451
12,0.978775,-0.295396,-0.690201,0.461436,-0.253213,-0.215908,0.977078,-0.296507,-0.681059,0.460298,-0.252865,-0.193687,0.961134,-0.290689,-0.685811,0.456054,-0.272603,-0.203211,0.972231,-0.293335,-0.682905,0.463497,-0.270943,-0.195339
13,0.968653,-0.277658,-0.700304,0.446046,-0.265604,-0.199746,0.968523,-0.274192,-0.692253,0.450704,-0.242084,-0.19115,0.966011,-0.276567,-0.700362,0.464173,-0.255156,-0.201618,0.959465,-0.272765,-0.68467,0.45191,-0.256474,-0.214129
14,0.965934,-0.252226,-0.713708,0.463871,-0.240972,-0.214977,0.966014,-0.253158,-0.705191,0.46613,-0.23902,-0.20965,0.963915,-0.258462,-0.709973,0.447135,-0.220722,-0.208799,0.969633,-0.250471,-0.711516,0.44912,-0.24883,-0.214221
15,0.952261,-0.240423,-0.715359,0.453217,-0.229829,-0.227453,0.961435,-0.24901,-0.722401,0.459706,-0.220694,-0.233386,0.958708,-0.235607,-0.724,0.465391,-0.231546,-0.219228,0.961258,-0.239028,-0.718556,0.460286,-0.236293,-0.216491
16,0.954217,-0.227101,-0.733426,0.476931,-0.221124,-0.224411,0.951527,-0.212829,-0.728263,0.45989,-0.231054,-0.231007,0.948565,-0.221135,-0.733038,0.458767,-0.223729,-0.237936,0.959287,-0.211723,-0.740634,0.463417,-0.226266,-0.235778
17,0.930258,-0.190165,-0.746244,0.470187,-0.212104,-0.231322,0.953081,-0.197188,-0.743307,0.469666,-0.214049,-0.242317,0.955527,-0.202517,-0.745336,0.456546,-0.241658,-0.247665,0.959941,-0.208583,-0.753447,0.451959,-0.228299,-0.236166
18,0.944871,-0.191444,-0.760391,0.469797,-0.215555,-0.250105,0.938388,-0.179362,-0.766094,0.461001,-0.208696,-0.243075,0.951312,-0.187515,-0.765873,0.466428,-0.21592,-0.243381,0.936932,-0.184881,-0.758425,0.470122,-0.201998,-0.245726
19,0.935445,-0.159259,-0.776513,0.483576,-0.207897,-0.255333,0.93799,-0.157956,-0.774851,0.464017,-0.197559,-0.255123,0.939746,-0.164064,-0.770823,0.472483,-0.198908,-0.257794,0.937198,-0.165155,-0.769988,0.457837,-0.224131,-0.260205
20,0.931849,-0.150112,-0.784431,0.487526,-0.204701,-0.255114,0.926621,-0.145549,-0.78322,0.469013,-0.184039,-0.249034,0.929897,-0.138699,-0.786996,0.467371,-0.206264,-0.252677,0.920968,-0.142519,-0.786227,0.470323,-0.198726,-0.244183
