sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.995928,-0.509059,-0.507477,0.286715,-0.229236,-0.074288,1.00106,-0.509597,-0.490584,0.300641,-0.22425,-0.063661,0.994929,-0.511185,-0.49822,0.310371,-0.23965,-0.069493,1.00376,-0.501439,-0.495719,0.305352,-0.219059,-0.066291
1,0.995266,-0.483384,-0.511666,0.295043,-0.238524,-0.085126,1.001699,-0.479845,-0.518202,0.309,-0.224364,-0.070832,0.998332,-0.491505,-0.516472,0.306531,-0.238766,-0.066937,0.993621,-0.4829,-0.514705,0.300181,-0.230795,-0.073279
2,0.991888,-0.466877,-0.538378,0.283683,-0.217515,-0.090771,0.992982,-0.473234,-0.524744,0.311899,-0.244339,-0.082174,0.990434,-0.46081,-0.532798,0.295471,-0.191461,-0.071453,0.999511,-0.470612,-0.531322,0.301389,-0.21552,-0.083378
3,0.998911,-0.445191,-0.555426,0.301084,-0.226117,-0.09284,1.003052,-0.456172,-0.545362,0.300892,-0.217241,-0.086573,0.990742,-0.443144,-0.547906,0.307627,-0.222479,-0.09127,1.002813,-0.447041,-0.549278,0.301081,-0.241758,-0.080966
4,1.002527,-0.432062,-0.563992,0.309896,-0.203538,-0.083574,0.993467,-0.430823,-0.560468,0.291074,-0.215846,-0.100005,0.996495,-0.439648,-0.56909,0.307648,-0.214552,-0.101914,1.004686,-0.427547,-0.563399,0.309994,-0.192422,-0.083714
5,0.99375,-0.417348,-0.580082,0.326542,-0.202677,-0.11408,0.991915,-0.414397,-0.570077,0.307508,-0.187414,-0.102352,0.99489,-0.411888,-0.588264,0.300867,-0.215241,-0.088766,0.995583,-0.41138,-0.564317,0.320106,-0.217903,-0.073707
6,0.998511,-0.397316,-0.59181,0.308345,-0.215891,-0.111382,0.987702,-0.396801,-0.589044,0.335775,-0.214011,-0.098464,0.988343,-0.408086,-0.58856,0.314493,-0.200345,-0.107935,0.997729,-0.404585,-0.601676,0.314153,-0.204622,-0.118739
7,0.988129,-0.376992,-0.604135,0.3267,-0.191755,-0.111016,0.994463,-0.38687,-0.601716,0.310477,-0.192992,-0.113291,0.991696,-0.38567,-0.612237,0.310931,-0.225994,-0.106602,0.994173,-0.379153,-0.605549,0.324409,-0.194437,-0.10133
8,0.979667,-0.361962,-0.629249,0.310262,-0.185158,-0.10794,0.981539,-0.357647,-0.615956,0.298606,-0.180572,-0.112691,0.988578,-0.364775,-0.617561,0.31678,-0.186735,-0.129085,0.985161,-0.361294,-0.61676,0.306338,-0.193384,-0.130847
9,0.982497,-0.35594,-0.648616,0.327892,-0.17107,-0.115499,0.980267,-0.337458,-0.636729,0.296493,-0.212597,-0.146254,0.986188,-0.348619,-0.643351,0.304733,-0.189543,-0.133993,0.98031,-0.353478,-0.642439,0.318654,-0.203218,-0.119202
10,0.991385,-0.332386,-0.653786,0.30873,-0.18662,-0.135855,0.985879,-0.320436,-0.659696,0.311414,-0.184084,-0.12213,0.979054,-0.330524,-0.655936,0.31261,-0.196687,-0.140783,0.983943,-0.332278,-0.651481,0.303383,-0.182107,-0.123857
11,0.977708,-0.308626,-0.666473,0.328307,-0.190471,-0.12434,0.98739,-0.31728,-0.662801,0.312315,-0.175176,-0.130809,0.980299,-0.312737,-0.667101,0.310265,-0.167103,-0.147044,0.98153,-0.312331,-0.665118,0.32036,-0.179664,-0.126348
12,0.979491,-0.300417,-0.675852,0.313666,-0.191884,-0.140585,0.970983,-0.294837,-0.673454,0.332035,-0.186549,-0.124717,0.976109,-0.29318,-0.686334,0.327942,-0.170798,-0.134443,0.975092,-0.289589,-0.678878,0.323185,-0.168446,-0.142262
13,0.972665,-0.27125,-0.705371,0.303627,-0.16993,-0.132845,0.974035,-0.267922,-0.696092,0.311211,-0.182814,-0.136736,0.972092,-0.282939,-0.68903,0.31897,-0.188065,-0.143563,0.961052,-0.271466,-0.70424,0.317865,-0.167663,-0.139193
14,0.960061,-0.263275,-0.708873,0.314637,-0.173476,-0.140627,0.95969,-0.254907,-0.709264,0.309952,-0.1723,-0.147335,0.967336,-0.252109,-0.711544,0.310898,-0.166093,-0.150463,0.961633,-0.255875,-0.710355,0.320355,-0.157467,-0.146235
15,0.958191,-0.233489,-0.720325,0.314573,-0.174456,-0.147955,0.967186,-0.246976,-0.727692,0.323691,-0.160614,-0.158544,0.966326,-0.239688,-0.723762,0.292037,-0.156932,-0.145842,0.952807,-0.251226,-0.722095,0.30891,-0.177757,-0.16365
16,0.958029,-0.217997,-0.739448,0.29623,-0.152494,-0.16041,0.954995,-0.227151,-0.73433,0.317664,-0.149228,-0.149364,0.951317,-0.212365,-0.730179,0.291618,-0.151456,-0.145954,0.953476,-0.218923,-0.735362,0.332027,-0.165437,-0.148375
17,0.948704,-0.195588,-0.742252,0.309568,-0.134806,-0.17431,0.94451,-0.204514,-0.749555,0.31475,-0.147497,-0.174003,0.944287,-0.19167,-0.75521,0.310888,-0.149685,-0.177401,0.953405,-0.200863,-0.757591,0.305799,-0.144332,-0.175639
18,0.934848,-0.179194,-0.759759,0.318941,-0.154194,-0.165231,0.932011,-0.18239,-0.756484,0.317101,-0.136797,-0.179945,0.942638,-0.184534,-0.771173,0.296882,-0.13822,-0.167403,0.939944,-0.185179,-0.755899,0.319351,-0.153811,-0.153252
19,0.933625,-0.16163,-0.771198,0.301197,-0.145551,-0.1679,0.940637,-0.168139,-0.765285,0.322957,-0.120272,-0.182416,0.944624,-0.16443,-0.774713,0.309642,-0.1274,-0.166843,0.941688,-0.167141,-0.77411,0.308558,-0.137451,-0.178271
20,0.92861,-0.139045,-0.789862,0.311621,-0.126236,-0.174164,0.9299,-0.146029,-0.77834,0.309834,-0.136253,-0.180572,0.931943,-0.14243,-0.789334,0.313313,-0.127889,-0.18884,0.936617,-0.145127,-0.781596,0.316628,-0.130395,-0.163386
21,0.915856,-0.137063,-0.798727,0.31408,-0.138472,-0.18058,0.925346,-0.132417,-0.795209,0.316441,-0.136517,-0.191888,0.92048,-0.124396,-0.793797,0.302213,-0.136595,-0.193375,0.927435,-0.133604,-0.795191,0.327861,-0.116555,-0.164555
22,0.906883,-0.111139,-0.800338,0.30649,-0.128231,-0.189288,0.909932,-0.106022,-0.802164,0.310045,-0.121496,-0.179278,0.909976,-0.101112,-0.810577,0.32401,-0.120462,-0.171371,0.915731,-0.110333,-0.80932,0.330298,-0.126094,-0.174445
23,0.907443,-0.090693,-0.818787,0.310348,-0.102284,-0.188039,0.914346,-0.090445,-0.813139,0.306881,-0.12704,-0.200962,0.907379,-0.088561,-0.81588,0.310198,-0.124196,-0.19202,0.904346,-0.095977,-0.80809,0.306445,-0.130552,-0.185063
24,0.897552,-0.070999,-0.824709,0.314336,-0.106508,-0.176574,0.896677,-0.067636,-0.821172,0.308965,-0.108639,-0.185846,0.900834,-0.069403,-0.826128,0.311101,-0.115723,-0.16508,0.900253,-0.072298,-0.823187,0.280159,-0.111557,-0.198865
25,0.889581,-0.061085,-0.838905,0.305508,-0.088824,-0.199794,0.887656,-0.04996,-0.84361,0.321475,-0.122896,-0.210127,0.896112,-0.047528,-0.842009,0.309809,-0.126461,-0.194211,0.889092,-0.063121,-0.837478,0.307026,-0.129903,-0.212941
26,0.883236,-0.033042,-0.856542,0.310169,-0.100957,-0.203674,0.880799,-0.037719,-0.850056,0.320194,-0.115502,-0.188011,0.881989,-0.028197,-0.851168,0.309951,-0.10889,-0.224091,0.890346,-0.036671,-0.84861,0.304586,-0.096708,-0.213312
27,0.877117,-0.014013,-0.859883,0.309259,-0.097611,-0.210932,0.872927,-0.017881,-0.85562,0.306178,-0.094786,-0.207524,0.876047,-0.006165,-0.859647,0.32254,-0.085126,-0.214288,0.86938,-0.027693,-0.863892,0.302477,-0.081231,-0.220715
28,0.878603,0.006907,-0.870384,0.313026,-0.080564,-0.209062,0.862831,0.002545,-0.861157,0.298345,-0.085582,-0.22268,0.85824,-0.000504,-0.868687,0.316017,-0.098334,-0.211857,0.857654,0.004479,-0.879546,0.303432,-0.089334,-0.226268
29,0.862428,0.022644,-0.886499,0.288809,-0.075662,-0.211551,0.856101,0.020432,-0.873049,0.305892,-0.098517,-0.211422,0.861239,0.020237,-0.882218,0.302317,-0.094144,-0.211029,0.851269,0.027041,-0.879656,0.320639,-0.086999,-0.234415
30,0.838167,0.037742,-0.885678,0.313394,-0.056164,-0.228017,0.841372,0.042637,-0.8964,0.311454,-0.079364,-0.217856,0.841057,0.053915,-0.893975,0.304783,-0.084931,-0.230144,0.843397,0.048811,-0.886089,0.307508,-0.059641,-0.213468
31,0.835948,0.057543,-0.890156,0.302532,-0.060129,-0.221432,0.841564,0.057318,-0.897924,0.311849,-0.072189,-0.223619,0.838404,0.052903,-0.889128,0.306802,-0.082127,-0.202102,0.835444,0.061558,-0.898173,0.304895,-0.088833,-0.241158
