sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.006053,-0.49654,-0.497359,0.545917,-0.4356,-0.137254,1.006483,-0.502926,-0.504429,0.553761,-0.431057,-0.124172,1.006296,-0.497224,-0.498177,0.557794,-0.418428,-0.129237,1.006877,-0.497566,-0.498622,0.551063,-0.420318,-0.139848
1,1.004185,-0.48061,-0.513266,0.564067,-0.424831,-0.139843,1.001097,-0.487472,-0.521911,0.565907,-0.428896,-0.14444,0.991776,-0.483071,-0.511812,0.564974,-0.434179,-0.146229,0.997436,-0.480375,-0.520622,0.557955,-0.429665,-0.168715
2,0.996474,-0.461766,-0.535059,0.569873,-0.414519,-0.148712,0.999403,-0.474339,-0.530646,0.574588,-0.411035,-0.153847,0.997891,-0.470874,-0.524415,0.560114,-0.431749,-0.138192,1.002339,-0.458132,-0.534854,0.578511,-0.414721,-0.146765
3,0.995994,-0.449694,-0.553832,0.577428,-0.401969,-0.155596,0.99452,-0.443508,-0.550922,0.559319,-0.39409,-0.157498,1.004102,-0.448865,-0.551759,0.575323,-0.403565,-0.167158,1.001688,-0.44728,-0.557645,0.576311,-0.405805,-0.17185
4,0.992398,-0.430168,-0.562667,0.565696,-0.38398,-0.161319,0.992362,-0.426682,-0.562745,0.572972,-0.411315,-0.17518,0.995474,-0.435927,-0.562278,0.581964,-0.406892,-0.169959,0.98974,-0.428725,-0.561849,0.577585,-0.384635,-0.160582
5,0.995909,-0.414585,-0.572345,0.575594,-0.397543,-0.180571,0.991431,-0.415143,-0.588435,0.580935,-0.388067,-0.203434,0.994128,-0.419195,-0.572204,0.586385,-0.393409,-0.188923,0.987405,-0.42426,-0.580678,0.564782,-0.398179,-0.19607
6,0.990866,-0.400778,-0.591559,0.570761,-0.388956,-0.195131,0.986729,-0.392904,-0.590624,0.577999,-0.375232,-0.186963,0.997308,-0.394701,-0.587548,0.570343,-0.389444,-0.197615,0.996617,-0.398747,-0.588092,0.59147,-0.3891,-0.192625
7,0.995683,-0.378674,-0.613451,0.577076,-0.378127,-0.199023,0.992003,-0.370542,-0.604205,0.590075,-0.389915,-0.211346,0.987724,-0.379037,-0.61062,0.575559,-0.37306,-0.21574,0.98248,-0.387538,-0.611221,0.571113,-0.373612,-0.188377
8,0.990447,-0.369099,-0.61783,0.586246,-0.369871,-0.21637,0.985404,-0.356256,-0.623779,0.576275,-0.369994,-0.241295,0.987939,-0.361953,-0.632167,0.585622,-0.386592,-0.221281,0.987253,-0.371999,-0.613932,0.572581,-0.339315,-0.211013
9,0.985348,-0.345664,-0.637214,0.577016,-0.354394,-0.229612,0.97683,-0.345105,-0.650685,0.585465,-0.354195,-0.248058,0.977533,-0.34999,-0.639538,0.574339,-0.367416,-0.207757,0.989531,-0.3469,-0.641424,0.575297,-0.36363,-0.246357
