sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.993881,-0.502662,-0.494773,0.613526,-0.475248,-0.127386,0.99126,-0.502229,-0.509455,0.607215,-0.469761,-0.14455,0.995397,-0.497855,-0.502898,0.624503,-0.474624,-0.131711,1.003813,-0.498724,-0.493923,0.618151,-0.455237,-0.159416
1,0.999197,-0.468517,-0.511009,0.62468,-0.469657,-0.167447,1.00828,-0.483011,-0.521924,0.632698,-0.461464,-0.156363,0.994698,-0.482803,-0.521107,0.639965,-0.448287,-0.171869,1.006011,-0.476323,-0.515705,0.598416,-0.476075,-0.126078
2,1.002291,-0.467383,-0.52901,0.611496,-0.466994,-0.158184,1.000229,-0.471875,-0.535474,0.608404,-0.449635,-0.163029,0.99983,-0.465106,-0.53356,0.626091,-0.465692,-0.171601,0.997568,-0.467134,-0.537046,0.606508,-0.458496,-0.167628
3,1.003585,-0.454365,-0.543813,0.621672,-0.443148,-0.193029,0.996371,-0.452791,-0.557972,0.63126,-0.452907,-0.166751,0.99241,-0.458267,-0.551043,0.62764,-0.457157,-0.180682,1.003882,-0.454645,-0.549323,0.618386,-0.452266,-0.167648
4,1.001244,-0.429241,-0.567022,0.64014,-0.42917,-0.180676,0.99219,-0.440472,-0.560186,0.648853,-0.432848,-0.176524,0.995717,-0.430212,-0.560678,0.632703,-0.443152,-0.183312,0.992768,-0.434391,-0.556784,0.638444,-0.450621,-0.191389
5,0.983873,-0.410734,-0.592425,0.640754,-0.422933,-0.200795,0.987537,-0.412843,-0.579055,0.629538,-0.433787,-0.19538,0.986982,-0.41428,-0.575984,0.651823,-0.438501,-0.198231,0.99768,-0.408219,-0.579995,0.650323,-0.425716,-0.197329
6,0.992569,-0.397573,-0.587098,0.617423,-0.424899,-0.222686,0.997756,-0.396468,-0.596544,0.621542,-0.435472,-0.220141,0.997283,-0.399094,-0.593407,0.642625,-0.41685,-0.19697,0.994568,-0.392822,-0.593703,0.643348,-0.412463,-0.219798
7,0.98461,-0.385053,-0.614553,0.643175,-0.433383,-0.221182,0.988931,-0.374112,-0.609644,0.634488,-0.417746,-0.217866,0.990094,-0.375034,-0.610413,0.626098,-0.408158,-0.235864,0.986702,-0.379034,-0.601893,0.648127,-0.417389,-0.235675
8,0.98464,-0.367882,-0.625358,0.642077,-0.425527,-0.240441,0.975982,-0.355783,-0.630778,0.629066,-0.407839,-0.249919,0.985931,-0.36686,-0.626371,0.635915,-0.3917,-0.22799,0.984549,-0.362502,-0.623172,0.631845,-0.411494,-0.236208
9,0.984765,-0.342953,-0.64316,0.638698,-0.398713,-0.239081,0.979345,-0.340519,-0.652368,0.66093,-0.390361,-0.253052,0.983454,-0.33197,-0.641166,0.630978,-0.402217,-0.243973,0.988554,-0.342344,-0.633096,0.640454,-0.398956,-0.266455
10,0.983164,-0.32018,-0.653906,0.656484,-0.376749,-0.271456,0.980776,-0.337127,-0.6543,0.645561,-0.391507,-0.261619,0.987018,-0.329142,-0.652347,0.65529,-0.388373,-0.257506,0.982883,-0.327269,-0.653069,0.653192,-0.394125,-0.237681
11,0.976261,-0.299853,-0.672067,0.623409,-0.367358,-0.278518,0.979704,-0.302907,-0.667321,0.64591,-0.371137,-0.269454,0.987962,-0.314472,-0.672636,0.642823,-0.377785,-0.279395,0.980356,-0.30713,-0.667893,0.635456,-0.348799,-0.270444
12,0.987719,-0.301194,-0.681962,0.633802,-0.365251,-0.288896,0.967664,-0.298767,-0.681739,0.639012,-0.357379,-0.279224,0.974007,-0.297133,-0.677969,0.637579,-0.358798,-0.268438,0.9703,-0.298561,-0.685273,0.639958,-0.362724,-0.287086
13,0.972004,-0.274228,-0.697486,0.628487,-0.351075,-0.309192,0.961225,-0.274552,-0.697622,0.638027,-0.345544,-0.286948,0.977187,-0.273118,-0.691447,0.644274,-0.362562,-0.283811,0.966348,-0.276026,-0.700697,0.660078,-0.355178,-0.275388
14,0.962919,-0.271875,-0.707233,0.630295,-0.340101,-0.310029,0.968596,-0.255946,-0.705931,0.642341,-0.354636,-0.302776,0.96262,-0.245206,-0.703204,0.645986,-0.3555,-0.296718,0.967178,-0.258626,-0.695249,0.656704,-0.358363,-0.293719
15,0.960077,-0.228489,-0.720407,0.642084,-0.328246,-0.32353,0.961026,-0.238938,-0.720296,0.665062,-0.32007,-0.32159,0.953771,-0.236383,-0.726547,0.668976,-0.343447,-0.307782,0.969236,-0.238139,-0.71904,0.646956,-0.306335,-0.317555
16,0.95116,-0.211515,-0.734868,0.657234,-0.313528,-0.325423,0.95092,-0.221291,-0.733419,0.642023,-0.343813,-0.315558,0.952303,-0.225074,-0.73696,0.642176,-0.321104,-0.307789,0.954838,-0.224979,-0.732022,0.635777,-0.321616,-0.329998
17,0.947123,-0.207287,-0.752822,0.652992,-0.317024,-0.338555,0.954885,-0.203007,-0.751071,0.640063,-0.312112,-0.341337,0.941264,-0.199394,-0.750157,0.640962,-0.308278,-0.338437,0.953979,-0.204942,-0.748785,0.659868,-0.312095,-0.33831
18,0.941326,-0.179846,-0.755443,0.649837,-0.30902,-0.335153,0.94893,-0.183306,-0.750693,0.647957,-0.298976,-0.352171,0.947231,-0.182296,-0.762574,0.632432,-0.300271,-0.352774,0.949518,-0.185912,-0.751603,0.64935,-0.292749,-0.344345
19,0.942496,-0.166596,-0.767609,0.64816,-0.281247,-0.361198,0.939746,-0.175797,-0.763809,0.64303,-0.294509,-0.361294,0.929738,-0.166398,-0.776573,0.634619,-0.303917,-0.370779,0.943176,-0.16934,-0.764517,0.647931,-0.297546,-0.348429
20,0.927209,-0.146254,-0.782872,0.624908,-0.272412,-0.356074,0.93188,-0.150257,-0.783857,0.6489,-0.264316,-0.382087,0.929842,-0.143741,-0.780779,0.636343,-0.278854,-0.352034,0.927609,-0.147764,-0.792979,0.628074,-0.270967,-0.367462
21,0.911729,-0.132399,-0.799156,0.642791,-0.256037,-0.361248,0.928417,-0.122371,-0.793152,0.633896,-0.261338,-0.376019,0.912379,-0.123666,-0.802632,0.636751,-0.265834,-0.367309,0.925011,-0.125768,-0.794859,0.649401,-0.262994,-0.380563
22,0.911405,-0.103243,-0.807084,0.658213,-0.263677,-0.385249,0.912606,-0.10416,-0.812421,0.627121,-0.253383,-0.388816,0.909592,-0.110095,-0.814388,0.642053,-0.242114,-0.386883,0.921876,-0.105264,-0.801194,0.639864,-0.244899,-0.385262
23,0.906387,-0.091626,-0.819482,0.661178,-0.238478,-0.390404,0.907071,-0.091648,-0.818217,0.629626,-0.259369,-0.378454,0.909155,-0.098015,-0.817274,0.658007,-0.260918,-0.39407,0.918403,-0.087072,-0.82145,0.642506,-0.257917,-0.384159
24,0.896325,-0.07316,-0.820333,0.647058,-0.215602,-0.397106,0.900882,-0.075741,-0.821213,0.644734,-0.220083,-0.407809,0.896213,-0.068289,-0.82207,0.639805,-0.235412,-0.413411,0.893886,-0.069946,-0.838244,0.631112,-0.230585,-0.41262
25,0.879988,-0.045533,-0.837264,0.646907,-0.228041,-0.424049,0.901254,-0.045789,-0.830828,0.639175,-0.233841,-0.415699,0.889745,-0.053778,-0.831025,0.627529,-0.237294,-0.414328,0.88818,-0.044388,-0.833494,0.639444,-0.218355,-0.425321
26,0.881404,-0.029528,-0.855007,0.621681,-0.207886,-0.430576,0.880698,-0.028546,-0.853848,0.626069,-0.227345,-0.423801,0.876014,-0.035716,-0.84892,0.636106,-0.219992,-0.419535,0.87558,-0.027635,-0.84882,0.616875,-0.20938,-0.446605
27,0.874788,-0.014976,-0.858248,0.637481,-0.1982,-0.450047,0.879656,-0.017927,-0.871976,0.631995,-0.211616,-0.406583,0.875374,-0.012854,-0.856543,0.635174,-0.203598,-0.423237,0.882583,-0.019127,-0.869391,0.625897,-0.201745,-0.424084
28,0.860965,0.002657,-0.867647,0.638694,-0.210871,-0.43611,0.852844,0.001139,-0.862241,0.602114,-0.1955,-0.445078,0.86727,0.001033,-0.870297,0.635552,-0.166638,-0.440637,0.868702,0.000718,-0.873242,0.615845,-0.194729,-0.428807
29,0.857472,0.019169,-0.873126,0.625488,-0.189255,-0.463287,0.860874,0.019686,-0.879916,0.601217,-0.178446,-0.460947,0.856872,0.025706,-0.875816,0.616652,-0.175957,-0.443672,0.855683,0.022127,-0.873615,0.614146,-0.16825,-0.442997
30,0.851759,0.054269,-0.879214,0.641652,-0.159319,-0.465153,0.854664,0.042883,-0.886738,0.609944,-0.143281,-0.464191,0.836681,0.044076,-0.884807,0.613763,-0.179769,-0.472114,0.84934,0.038909,-0.880625,0.611914,-0.162187,-0.44036
31,0.827736,0.062672,-0.888952,0.619267,-0.151759,-0.452352,0.837478,0.0598,-0.895295,0.622733,-0.15982,-0.458689,0.831836,0.06097,-0.893957,0.628072,-0.141857,-0.475592,0.838462,0.062812,-0.890527,0.620499,-0.164636,-0.454019
32,0.815144,0.079545,-0.909048,0.60347,-0.153209,-0.479887,0.823271,0.079525,-0.899203,0.612051,-0.126618,-0.480673,0.82385,0.086574,-0.903332,0.614788,-0.148693,-0.480103,0.82622,0.085434,-0.905386,0.616031,-0.164889,-0.496126
33,0.814058,0.097183,-0.914923,0.611248,-0.146262,-0.474781,0.812967,0.107524,-0.904245,0.617056,-0.139017,-0.475255,0.814283,0.100407,-0.9057,0.631451,-0.130217,-0.476395,0.810764,0.093558,-0.909281,0.62566,-0.138073,-0.49219
34,0.801853,0.115202,-0.927264,0.605281,-0.127698,-0.486514,0.794538,0.116254,-0.919299,0.609773,-0.105238,-0.472933,0.80223,0.122272,-0.915709,0.616051,-0.121325,-0.483491,0.801428,0.11638,-0.917356,0.601627,-0.11741,-0.509041
35,0.785899,0.130789,-0.926979,0.603221,-0.097691,-0.501483,0.805213,0.126932,-0.91552,0.608355,-0.104753,-0.505598,0.786468,0.133136,-0.921394,0.610061,-0.12186,-0.502761,0.785442,0.1345,-0.926901,0.611567,-0.112338,-0.504091
36,0.775759,0.153562,-0.931403,0.599068,-0.081384,-0.50601,0.780304,0.153699,-0.934389,0.601993,-0.103466,-0.504791,0.783278,0.151836,-0.932761,0.600352,-0.096028,-0.510462,0.771204,0.155305,-0.932418,0.588197,-0.078741,-0.510857
37,0.771242,0.164946,-0.935804,0.59289,-0.064543,-0.486493,0.773186,0.178548,-0.924241,0.597112,-0.089237,-0.526915,0.771051,0.174667,-0.939932,0.603841,-0.098045,-0.506576,0.761227,0.17563,-0.940784,0.580758,-0.083511,-0.494083
38,0.757541,0.193804,-0.951734,0.586805,-0.06369,-0.527104,0.755974,0.19476,-0.945701,0.580117,-0.063636,-0.51699,0.760543,0.188208,-0.933086,0.573925,-0.056175,-0.54226,0.754667,0.184992,-0.947244,0.572938,-0.07804,-0.514554
39,0.747394,0.203302,-0.954989,0.576814,-0.062531,-0.534541,0.73807,0.209514,-0.957779,0.591126,-0.036065,-0.541315,0.732286,0.204388,-0.950576,0.570758,-0.064933,-0.544067,0.744783,0.219497,-0.950478,0.57219,-0.071131,-0.522622
40,0.722104,0.235808,-0.953978,0.585726,-0.046476,-0.542889,0.731555,0.233099,-0.960092,0.573186,-0.033419,-0.543205,0.729673,0.229535,-0.956093,0.556232,-0.040426,-0.539535,0.727684,0.230462,-0.956591,0.577238,-0.037193,-0.534534
