sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.000458,-0.503362,-0.507324,0.760571,-0.599816,-0.175838,0.99811,-0.494813,-0.503575,0.748678,-0.594782,-0.164553,0.999498,-0.498348,-0.495864,0.764668,-0.569381,-0.181109,1.007943,-0.490823,-0.502662,0.75669,-0.558639,-0.159388
1,1.000585,-0.485855,-0.524668,0.735881,-0.552514,-0.20012,0.995542,-0.48767,-0.515332,0.751423,-0.564148,-0.188616,0.996909,-0.488019,-0.516097,0.749239,-0.550553,-0.190135,1.002386,-0.482755,-0.511846,0.749351,-0.562201,-0.171024
2,0.993505,-0.463321,-0.532794,0.753472,-0.559614,-0.198804,1.003754,-0.462128,-0.537631,0.764165,-0.556678,-0.204204,1.00814,-0.480916,-0.532869,0.742701,-0.558601,-0.197229,1.000028,-0.45473,-0.536462,0.751003,-0.554327,-0.173975
3,0.995683,-0.450984,-0.553446,0.756653,-0.538969,-0.221187,0.995391,-0.457222,-0.559888,0.760173,-0.524915,-0.217815,0.996215,-0.445594,-0.547441,0.752967,-0.552905,-0.220914,1.001951,-0.451727,-0.548188,0.765796,-0.535636,-0.2362
4,0.994365,-0.42125,-0.564098,0.767327,-0.514931,-0.225301,1.004889,-0.431485,-0.559168,0.768291,-0.544616,-0.216459,1.001824,-0.430838,-0.564179,0.769105,-0.530046,-0.237187,0.998227,-0.426069,-0.56543,0.755917,-0.527579,-0.234961
5,0.991568,-0.422494,-0.580175,0.773411,-0.515664,-0.230845,1.003032,-0.422642,-0.567805,0.772815,-0.535871,-0.238314,1.008,-0.413873,-0.580666,0.759146,-0.536704,-0.237105,0.996725,-0.417647,-0.57127,0.769614,-0.5273,-0.250612
6,0.997049,-0.388957,-0.591667,0.78686,-0.508712,-0.240642,0.982066,-0.397936,-0.594421,0.768295,-0.513991,-0.247188,0.987609,-0.401355,-0.58404,0.756138,-0.513074,-0.259958,0.979966,-0.398108,-0.598052,0.766651,-0.50584,-0.275619
7,0.98875,-0.393475,-0.603139,0.75708,-0.488284,-0.27154,0.992349,-0.389859,-0.600879,0.763196,-0.490211,-0.286146,0.990724,-0.375926,-0.609732,0.770134,-0.497648,-0.272376,0.983667,-0.380239,-0.619796,0.790253,-0.481313,-0.277329
8,0.98116,-0.369997,-0.622361,0.761423,-0.493155,-0.276846,0.986285,-0.369214,-0.619488,0.761451,-0.478162,-0.273899,0.994102,-0.356978,-0.629749,0.763403,-0.507915,-0.288943,1.002663,-0.361599,-0.61402,0.781931,-0.469265,-0.287341
9,0.987605,-0.351863,-0.639787,0.762045,-0.461388,-0.285703,0.982384,-0.343113,-0.637486,0.774413,-0.465156,-0.293706,0.975616,-0.344453,-0.640589,0.767869,-0.46903,-0.295216,0.986449,-0.346341,-0.633346,0.774153,-0.471918,-0.296042
10,0.990249,-0.329172,-0.655161,0.761802,-0.475851,-0.321185,0.985593,-0.327686,-0.660159,0.787597,-0.459747,-0.329569,0.998306,-0.337092,-0.649369,0.767608,-0.468605,-0.314398,0.982118,-0.330527,-0.649537,0.758757,-0.472242,-0.326528
11,0.979747,-0.308146,-0.672852,0.788973,-0.439017,-0.32475,0.978162,-0.315897,-0.669867,0.772488,-0.460114,-0.319128,0.984057,-0.308747,-0.663046,0.777021,-0.45015,-0.311117,0.974646,-0.308801,-0.666053,0.791673,-0.455323,-0.345684
12,0.976933,-0.294186,-0.678388,0.805088,-0.443039,-0.337172,0.974249,-0.287113,-0.673689,0.770065,-0.432904,-0.349195,0.971273,-0.293188,-0.680667,0.782041,-0.427858,-0.346729,0.970504,-0.288967,-0.686029,0.788936,-0.423018,-0.343532
13,0.969818,-0.274783,-0.694464,0.776836,-0.417511,-0.352323,0.96758,-0.276417,-0.694878,0.776704,-0.43316,-0.359501,0.968024,-0.271719,-0.698736,0.76476,-0.40364,-0.355878,0.965478,-0.278684,-0.690192,0.77789,-0.437812,-0.369656
14,0.958984,-0.260074,-0.711412,0.781347,-0.412965,-0.369166,0.955596,-0.249787,-0.7075,0.771024,-0.414827,-0.354548,0.956765,-0.251952,-0.711314,0.777128,-0.424369,-0.364178,0.954371,-0.251057,-0.702812,0.792335,-0.417903,-0.368023
