sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.99985,-0.495176,-0.49536,0.616948,-0.479799,-0.128458,0.998486,-0.489286,-0.500154,0.640855,-0.479945,-0.133024,1.000004,-0.508489,-0.502996,0.631425,-0.491741,-0.14632,1.002784,-0.505055,-0.491617,0.623238,-0.4705,-0.17169
1,0.997974,-0.481464,-0.506571,0.610993,-0.480491,-0.143831,1.003562,-0.479278,-0.525671,0.619386,-0.499936,-0.147654,1.003573,-0.48709,-0.51724,0.629499,-0.466352,-0.172798,0.996929,-0.478976,-0.516299,0.635657,-0.461195,-0.155239
2,1.005989,-0.466477,-0.530158,0.63361,-0.448414,-0.180439,0.992253,-0.464917,-0.53053,0.618905,-0.471146,-0.168811,1.005449,-0.469029,-0.529867,0.630667,-0.462104,-0.17219,0.996456,-0.469316,-0.53321,0.62627,-0.461328,-0.179771
3,0.997219,-0.454009,-0.546369,0.641623,-0.442645,-0.162362,0.995926,-0.456712,-0.549063,0.6181,-0.442701,-0.162735,0.998286,-0.446016,-0.553107,0.625809,-0.463181,-0.191763,0.999864,-0.457447,-0.545647,0.643121,-0.466203,-0.181273
4,0.986951,-0.4323,-0.562246,0.635152,-0.435545,-0.168733,0.993184,-0.435413,-0.559603,0.631039,-0.436936,-0.177213,0.995445,-0.436232,-0.567509,0.633721,-0.438624,-0.189317,0.996003,-0.429908,-0.560878,0.628389,-0.436849,-0.186847
5,0.998812,-0.426653,-0.581564,0.648134,-0.439552,-0.197197,0.994481,-0.415953,-0.586011,0.646348,-0.439199,-0.198202,0.996095,-0.415939,-0.579378,0.6408,-0.451397,-0.214215,0.997098,-0.418498,-0.580305,0.649919,-0.425712,-0.210786
6,0.98609,-0.391822,-0.588696,0.639927,-0.426006,-0.211023,0.988085,-0.400711,-0.605349,0.656978,-0.43907,-0.210239,0.98837,-0.406275,-0.59969,0.651019,-0.409778,-0.197877,1.000057,-0.399762,-0.588293,0.62304,-0.422012,-0.215028
7,0.980471,-0.371575,-0.60883,0.64283,-0.394818,-0.239046,0.993175,-0.389207,-0.6124,0.637323,-0.40906,-0.230528,0.985704,-0.376735,-0.603192,0.640455,-0.419709,-0.229098,0.990914,-0.374561,-0.612652,0.635784,-0.433292,-0.238589
8,0.986937,-0.366473,-0.625496,0.650248,-0.39948,-0.237588,0.992746,-0.358277,-0.630334,0.643009,-0.413021,-0.246201,0.990604,-0.355264,-0.617574,0.641231,-0.391596,-0.230557,0.989169,-0.371304,-0.621097,0.633965,-0.422149,-0.236386
9,0.985148,-0.348357,-0.638505,0.645349,-0.406311,-0.250454,0.975915,-0.356621,-0.632228,0.636888,-0.392214,-0.239709,0.98147,-0.345712,-0.639866,0.661546,-0.405688,-0.248617,0.983728,-0.343987,-0.632116,0.654008,-0.413137,-0.253064
