sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.998587,-0.496338,-0.492034,0.515219,-0.379399,-0.122082,0.996941,-0.49245,-0.506505,0.520673,-0.398053,-0.10974,0.993508,-0.500336,-0.499167,0.505475,-0.380442,-0.130511,0.99997,-0.496514,-0.499758,0.511675,-0.388923,-0.124937
1,1.003714,-0.477594,-0.51252,0.498476,-0.375528,-0.12626,1.002308,-0.486919,-0.515411,0.530854,-0.388615,-0.116526,0.999997,-0.473731,-0.508883,0.517429,-0.408585,-0.121868,0.989466,-0.484464,-0.517775,0.509017,-0.369751,-0.130877
2,1.005482,-0.463924,-0.528536,0.524226,-0.383343,-0.128633,0.998046,-0.466408,-0.539354,0.519306,-0.393138,-0.146862,0.99977,-0.468244,-0.525361,0.512548,-0.382395,-0.150106,1.003272,-0.468165,-0.526738,0.541272,-0.378248,-0.143578
3,0.997782,-0.444935,-0.54699,0.531254,-0.368217,-0.151267,0.997961,-0.454545,-0.544735,0.51478,-0.377109,-0.139156,0.995119,-0.443671,-0.548974,0.524906,-0.370032,-0.166664,1.005199,-0.446242,-0.556022,0.519264,-0.392298,-0.160157
4,1.00061,-0.436638,-0.561253,0.535171,-0.371649,-0.162314,1.000697,-0.433751,-0.572904,0.522613,-0.354349,-0.156309,0.995896,-0.430685,-0.570542,0.526344,-0.349526,-0.146849,0.99228,-0.426768,-0.552735,0.502938,-0.357211,-0.171185
5,1.002375,-0.408757,-0.584936,0.513585,-0.355917,-0.147663,0.999738,-0.413113,-0.570836,0.527929,-0.348562,-0.176859,0.99266,-0.420542,-0.574075,0.524171,-0.361015,-0.16133,0.997572,-0.419251,-0.58094,0.52033,-0.355291,-0.174407
6,1.002266,-0.396579,-0.594243,0.525861,-0.348003,-0.179908,0.990145,-0.401287,-0.594327,0.512126,-0.343481,-0.17266,0.998071,-0.41001,-0.589258,0.519038,-0.349323,-0.161672,0.994486,-0.401289,-0.598593,0.512635,-0.346315,-0.165864
7,0.992445,-0.385508,-0.610295,0.518107,-0.342086,-0.188016,0.987774,-0.382335,-0.608502,0.538972,-0.334491,-0.188402,0.994652,-0.384473,-0.615597,0.522138,-0.329169,-0.18195,0.995263,-0.378345,-0.606486,0.534875,-0.341636,-0.183622
8,0.985236,-0.362941,-0.633341,0.531181,-0.321773,-0.202786,0.989383,-0.368527,-0.622227,0.526494,-0.335914,-0.1843,0.971829,-0.371907,-0.619812,0.541095,-0.32893,-0.19532,0.98747,-0.364642,-0.626524,0.527647,-0.333543,-0.19395
9,0.978339,-0.349663,-0.639485,0.539012,-0.32409,-0.182743,0.986401,-0.344879,-0.634409,0.533444,-0.315291,-0.231676,0.984134,-0.33726,-0.643882,0.532621,-0.337235,-0.217655,0.986321,-0.356806,-0.633581,0.509426,-0.319659,-0.220709
