sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.003893,-0.50763,-0.508142,0.425347,-0.330009,-0.084597,0.994978,-0.503973,-0.504816,0.421459,-0.30931,-0.097382,1.00503,-0.499629,-0.491455,0.416142,-0.310907,-0.087102,1.000909,-0.495477,-0.504802,0.44444,-0.321471,-0.103758
1,0.999531,-0.475338,-0.523842,0.433274,-0.305472,-0.103965,0.998903,-0.4849,-0.52004,0.411046,-0.32893,-0.090841,0.996913,-0.476449,-0.51781,0.420385,-0.315406,-0.112182,0.998647,-0.483387,-0.519354,0.426478,-0.317732,-0.137951
2,0.999862,-0.465613,-0.540155,0.436872,-0.319414,-0.11662,0.997983,-0.470937,-0.530107,0.429893,-0.321975,-0.116519,0.999209,-0.459056,-0.531505,0.412178,-0.30975,-0.122632,1.000272,-0.472166,-0.526595,0.411761,-0.297326,-0.104025
3,1.005455,-0.457706,-0.541736,0.423526,-0.300637,-0.116221,1.004428,-0.447538,-0.551537,0.406188,-0.310168,-0.129168,1.000633,-0.452168,-0.540384,0.424974,-0.286569,-0.12773,0.99998,-0.457693,-0.545322,0.435738,-0.287342,-0.10938
4,1.002308,-0.430349,-0.55981,0.434656,-0.301331,-0.127539,1.00089,-0.428345,-0.566012,0.427583,-0.316616,-0.126229,0.996042,-0.435194,-0.578247,0.43681,-0.296342,-0.12601,0.999157,-0.432907,-0.569526,0.420074,-0.283382,-0.136697
5,1.006085,-0.415615,-0.585687,0.412077,-0.292749,-0.116366,0.996251,-0.416849,-0.584934,0.409093,-0.290964,-0.134727,0.989578,-0.419578,-0.583336,0.423035,-0.299096,-0.15422,0.992348,-0.416485,-0.571681,0.415961,-0.303504,-0.136642
6,0.987206,-0.393825,-0.597145,0.447136,-0.291288,-0.140173,0.997459,-0.404479,-0.597341,0.439735,-0.293279,-0.145047,0.990642,-0.401133,-0.590233,0.418652,-0.287455,-0.138513,0.986483,-0.391452,-0.595311,0.424383,-0.307387,-0.137304
7,0.994509,-0.371714,-0.613408,0.434994,-0.283902,-0.147854,0.987491,-0.379402,-0.601374,0.431305,-0.287725,-0.169354,0.986879,-0.382297,-0.607872,0.42766,-0.273515,-0.13513,0.994769,-0.380704,-0.614067,0.443788,-0.297821,-0.147568
8,0.987027,-0.358405,-0.635818,0.431535,-0.245875,-0.155004,0.991059,-0.361946,-0.627397,0.430828,-0.268567,-0.171214,0.985827,-0.358097,-0.623538,0.424715,-0.271294,-0.160428,0.993107,-0.359265,-0.625503,0.436698,-0.268198,-0.166433
9,0.99122,-0.346049,-0.635206,0.417812,-0.269346,-0.165595,0.982622,-0.348714,-0.63716,0.423017,-0.260613,-0.149899,0.987908,-0.342163,-0.650476,0.437703,-0.291319,-0.165336,0.988058,-0.355995,-0.639565,0.432929,-0.262076,-0.16307
10,0.976246,-0.335921,-0.655644,0.426373,-0.2632,-0.190008,0.988922,-0.330824,-0.660873,0.435547,-0.264164,-0.176981,0.977951,-0.323383,-0.652927,0.421671,-0.248303,-0.169144,0.987336,-0.339397,-0.644735,0.437303,-0.247965,-0.17323
11,0.979,-0.314277,-0.672907,0.446477,-0.265628,-0.17925,0.980706,-0.323371,-0.66504,0.463186,-0.242922,-0.192134,0.983515,-0.313473,-0.669304,0.441889,-0.271814,-0.195711,0.978578,-0.30919,-0.668629,0.430886,-0.244291,-0.194431
12,0.971718,-0.291962,-0.682442,0.445594,-0.237432,-0.172953,0.964507,-0.29025,-0.681532,0.443039,-0.23052,-0.198754,0.973377,-0.299384,-0.694324,0.429337,-0.255342,-0.193469,0.974558,-0.292045,-0.679382,0.467087,-0.256266,-0.186189
13,0.970988,-0.277749,-0.692672,0.446855,-0.233667,-0.182978,0.964247,-0.274093,-0.697887,0.436524,-0.228912,-0.195746,0.965433,-0.278512,-0.692817,0.428962,-0.234957,-0.203392,0.965802,-0.272035,-0.692607,0.444801,-0.234369,-0.191278
14,0.961415,-0.24988,-0.705978,0.439139,-0.237777,-0.208554,0.95449,-0.256646,-0.706261,0.442861,-0.239696,-0.197855,0.963659,-0.260298,-0.707079,0.43033,-0.232383,-0.200242,0.965009,-0.251956,-0.714451,0.438895,-0.2312,-0.214019
15,0.97816,-0.239794,-0.723777,0.44905,-0.238724,-0.232494,0.96537,-0.233282,-0.724269,0.428532,-0.228134,-0.207222,0.949953,-0.237678,-0.730493,0.418229,-0.23733,-0.216964,0.955664,-0.239382,-0.726431,0.438588,-0.203168,-0.204497
16,0.957046,-0.213947,-0.728096,0.435838,-0.20736,-0.220146,0.959883,-0.218773,-0.736209,0.431138,-0.216456,-0.205384,0.955347,-0.222308,-0.733666,0.442573,-0.201812,-0.230012,0.955999,-0.216345,-0.740339,0.424409,-0.21182,-0.218914
