sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.002576,-0.496588,-0.495036,0.508828,-0.387097,-0.115886,1.002893,-0.506229,-0.498444,0.499707,-0.394145,-0.119283,0.991646,-0.499556,-0.49416,0.508709,-0.387446,-0.114328,1.002139,-0.493149,-0.497912,0.506432,-0.40597,-0.117476
1,0.997962,-0.474356,-0.511512,0.511268,-0.371619,-0.126308,0.999603,-0.473411,-0.519002,0.497202,-0.37841,-0.121662,0.998278,-0.485819,-0.518704,0.505705,-0.374876,-0.130381,0.995495,-0.480723,-0.521981,0.512887,-0.364985,-0.108082
2,0.995268,-0.468155,-0.535338,0.523319,-0.382726,-0.122643,1.003223,-0.468711,-0.537826,0.523752,-0.380937,-0.142012,1.004686,-0.46195,-0.528228,0.521336,-0.389958,-0.146469,1.006063,-0.461254,-0.528551,0.498285,-0.369819,-0.127575
3,1.00041,-0.447716,-0.548013,0.505723,-0.361028,-0.131625,0.997851,-0.446533,-0.545409,0.526147,-0.365016,-0.157385,1.003298,-0.45627,-0.551937,0.512067,-0.355461,-0.148438,0.995484,-0.431445,-0.549341,0.531968,-0.344616,-0.142167
4,1.006816,-0.432819,-0.564748,0.513346,-0.3533,-0.176284,0.999262,-0.433533,-0.560092,0.505204,-0.355761,-0.154213,0.994116,-0.432536,-0.560464,0.519775,-0.360045,-0.144222,1.000132,-0.43514,-0.557666,0.50995,-0.355239,-0.144995
5,0.988239,-0.418911,-0.573419,0.512533,-0.332379,-0.161499,0.988541,-0.415953,-0.581356,0.517877,-0.365044,-0.156731,0.99307,-0.408462,-0.580983,0.50845,-0.34839,-0.175409,0.981212,-0.421182,-0.578916,0.522228,-0.380041,-0.17562
6,0.991324,-0.400091,-0.598372,0.525711,-0.334895,-0.184432,0.99779,-0.400341,-0.602761,0.517486,-0.351014,-0.187369,0.989649,-0.392997,-0.602609,0.528195,-0.342965,-0.200005,0.994766,-0.40991,-0.593012,0.516055,-0.35725,-0.181051
7,0.990777,-0.381853,-0.605244,0.518695,-0.342296,-0.184514,0.990201,-0.379592,-0.609122,0.500811,-0.321852,-0.192433,0.987433,-0.388469,-0.611095,0.510078,-0.342325,-0.176919,0.996602,-0.373197,-0.614806,0.51956,-0.336566,-0.190847
8,0.993364,-0.365472,-0.629714,0.541002,-0.334468,-0.198343,0.986188,-0.365159,-0.629546,0.49773,-0.32589,-0.187695,0.985151,-0.360091,-0.620981,0.518709,-0.321417,-0.172394,0.998576,-0.360179,-0.621202,0.519529,-0.334798,-0.19502
9,0.97961,-0.345615,-0.631088,0.527275,-0.322662,-0.202406,0.995759,-0.351347,-0.645728,0.538857,-0.318645,-0.190852,0.990483,-0.348258,-0.640228,0.520545,-0.329546,-0.189144,0.99318,-0.351851,-0.642813,0.524743,-0.318809,-0.197378
10,0.977829,-0.328156,-0.65692,0.515844,-0.30695,-0.22474,0.988178,-0.321985,-0.652441,0.531024,-0.301263,-0.193737,0.983382,-0.320256,-0.645009,0.533542,-0.326516,-0.217972,0.982831,-0.334167,-0.656775,0.525795,-0.321598,-0.218111
11,0.967387,-0.30636,-0.664335,0.528523,-0.304049,-0.209866,0.983714,-0.316226,-0.668388,0.513725,-0.299106,-0.217325,0.981442,-0.317633,-0.668973,0.522683,-0.296638,-0.209613,0.980572,-0.299778,-0.665594,0.522689,-0.297792,-0.242075
12,0.978674,-0.295452,-0.673885,0.52709,-0.286942,-0.230716,0.976388,-0.288385,-0.67365,0.534956,-0.275375,-0.236893,0.977207,-0.295012,-0.681863,0.526186,-0.305757,-0.233839,0.968629,-0.301201,-0.680658,0.519277,-0.297751,-0.227919
13,0.969045,-0.27229,-0.695521,0.51829,-0.291874,-0.237638,0.966082,-0.274395,-0.692519,0.506766,-0.285387,-0.219818,0.964693,-0.277931,-0.699868,0.513847,-0.27998,-0.243473,0.964192,-0.28509,-0.700487,0.524283,-0.287902,-0.24446
14,0.96402,-0.258967,-0.70988,0.522954,-0.286107,-0.245043,0.970603,-0.27139,-0.706234,0.534527,-0.273233,-0.261495,0.963962,-0.25427,-0.710686,0.520667,-0.297539,-0.255905,0.956729,-0.250495,-0.711922,0.527269,-0.287117,-0.274359
15,0.95629,-0.2288,-0.727631,0.540356,-0.252382,-0.252515,0.967839,-0.231553,-0.726654,0.519411,-0.259194,-0.252375,0.968161,-0.242346,-0.717556,0.502176,-0.284512,-0.273279,0.953463,-0.23276,-0.722947,0.527251,-0.25634,-0.236646
16,0.959838,-0.21834,-0.728973,0.51895,-0.269998,-0.256361,0.953054,-0.22251,-0.741371,0.520696,-0.258491,-0.255585,0.957893,-0.215909,-0.730423,0.521836,-0.262274,-0.277313,0.960259,-0.209792,-0.735604,0.519822,-0.264598,-0.269541
17,0.946687,-0.199151,-0.743835,0.531821,-0.25314,-0.286505,0.944207,-0.208375,-0.742485,0.526843,-0.257165,-0.271766,0.956229,-0.199288,-0.745485,0.516568,-0.250506,-0.256741,0.950795,-0.199156,-0.744809,0.516084,-0.262581,-0.273
18,0.936348,-0.188009,-0.756912,0.55047,-0.262057,-0.281183,0.946748,-0.185698,-0.757334,0.526755,-0.248779,-0.268063,0.939253,-0.186008,-0.75485,0.535645,-0.231936,-0.271927,0.94188,-0.180405,-0.768853,0.525533,-0.233443,-0.278859
19,0.928231,-0.158423,-0.770196,0.532659,-0.229883,-0.287686,0.937024,-0.174461,-0.769425,0.516827,-0.231862,-0.287836,0.945683,-0.168384,-0.767216,0.507992,-0.229522,-0.281027,0.943223,-0.156725,-0.772351,0.518053,-0.23613,-0.299954
