sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.996379,-0.50138,-0.498387,0.656549,-0.502036,-0.150097,1.001445,-0.501873,-0.501142,0.670009,-0.521681,-0.162897,1.00379,-0.499446,-0.499342,0.665396,-0.512849,-0.158974,1.000025,-0.500781,-0.498411,0.666305,-0.513245,-0.149404
1,1.004348,-0.480994,-0.517277,0.661493,-0.51214,-0.162974,1.002356,-0.49303,-0.52437,0.679432,-0.511027,-0.183532,0.995599,-0.477998,-0.518107,0.66275,-0.5211,-0.165027,1.00354,-0.476012,-0.521031,0.661134,-0.507377,-0.156449
2,1.000786,-0.464862,-0.530557,0.658034,-0.494648,-0.165718,0.993659,-0.467552,-0.537093,0.664462,-0.484925,-0.181047,1.001376,-0.469501,-0.536676,0.670059,-0.472823,-0.190006,0.999262,-0.46787,-0.524354,0.669398,-0.49328,-0.174875
3,0.998362,-0.456423,-0.55045,0.676986,-0.476043,-0.193589,0.997985,-0.447841,-0.556268,0.6714,-0.482472,-0.19901,0.997328,-0.454105,-0.544039,0.68436,-0.472473,-0.178966,0.992129,-0.450775,-0.555419,0.663321,-0.47624,-0.189588
4,0.995918,-0.442274,-0.564818,0.687749,-0.470479,-0.222344,0.996415,-0.438404,-0.55701,0.664585,-0.469254,-0.183439,1.000101,-0.441625,-0.563011,0.676657,-0.473367,-0.208088,0.983287,-0.440195,-0.57469,0.69905,-0.47079,-0.207974
5,0.998808,-0.407177,-0.580745,0.670946,-0.477031,-0.206905,0.99954,-0.426301,-0.578968,0.691707,-0.46098,-0.226746,1.000074,-0.422208,-0.583692,0.679408,-0.450082,-0.225971,0.995883,-0.423297,-0.576808,0.693588,-0.473995,-0.213045
6,0.990307,-0.39522,-0.596168,0.692959,-0.468665,-0.231321,0.990532,-0.392788,-0.596657,0.681405,-0.470559,-0.248272,0.998576,-0.396131,-0.59541,0.690132,-0.469932,-0.239275,0.987821,-0.399705,-0.59443,0.663812,-0.448636,-0.224408
7,0.988799,-0.376245,-0.624887,0.693338,-0.440275,-0.225626,0.990535,-0.37427,-0.617151,0.684767,-0.459372,-0.241634,0.998319,-0.382601,-0.597715,0.695115,-0.428544,-0.25424,0.990891,-0.381885,-0.614642,0.69113,-0.451154,-0.240334
8,0.991829,-0.36166,-0.609338,0.67662,-0.435064,-0.258711,0.991373,-0.360839,-0.629343,0.70799,-0.427093,-0.248867,0.983873,-0.355771,-0.616361,0.692029,-0.4316,-0.269327,0.983083,-0.365957,-0.625887,0.695436,-0.453047,-0.258569
9,0.984903,-0.34324,-0.642009,0.678523,-0.415423,-0.272232,0.983991,-0.348778,-0.634403,0.695633,-0.431242,-0.267537,0.981565,-0.342043,-0.646139,0.692108,-0.41654,-0.281172,0.983413,-0.356807,-0.639982,0.679126,-0.427568,-0.280739
