sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,1.004639,-0.505934,-0.503452,0.295444,-0.211545,-0.044656,0.996217,-0.496329,-0.495677,0.29825,-0.218746,-0.060346,0.997326,-0.4963,-0.495983,0.289175,-0.222844,-0.076109,1.001888,-0.488862,-0.508174,0.297586,-0.225721,-0.074934
1,0.993505,-0.48779,-0.526501,0.289095,-0.226131,-0.080789,0.999839,-0.478861,-0.516197,0.290944,-0.201928,-0.066508,1.005889,-0.489545,-0.507759,0.30395,-0.22851,-0.073084,1.006611,-0.481173,-0.519357,0.293651,-0.206208,-0.077953
2,0.99613,-0.471841,-0.543337,0.296189,-0.224064,-0.078572,0.996404,-0.477806,-0.529653,0.288499,-0.207862,-0.081585,0.998492,-0.463836,-0.533789,0.277907,-0.225064,-0.063146,1.00095,-0.469922,-0.52719,0.278894,-0.225144,-0.070037
3,1.001223,-0.452815,-0.544609,0.291875,-0.19499,-0.088814,0.993097,-0.45528,-0.540917,0.309775,-0.204205,-0.091295,0.997406,-0.445079,-0.549224,0.288296,-0.202544,-0.086397,1.00081,-0.4533,-0.548118,0.303773,-0.207241,-0.0885
4,1.000058,-0.438539,-0.568373,0.283157,-0.207299,-0.077687,1.00169,-0.42587,-0.565633,0.303197,-0.23811,-0.084474,0.99195,-0.43283,-0.561147,0.306087,-0.199353,-0.079465,0.991326,-0.427251,-0.564282,0.306787,-0.188372,-0.093389
5,0.993527,-0.413801,-0.579202,0.290485,-0.184285,-0.080353,0.991957,-0.41256,-0.582353,0.310718,-0.186913,-0.114826,0.9973,-0.418151,-0.569524,0.289992,-0.216075,-0.089003,0.997321,-0.412302,-0.580724,0.30861,-0.21213,-0.075274
6,1.001443,-0.385519,-0.594254,0.290382,-0.208616,-0.103595,1.00068,-0.403922,-0.596836,0.302437,-0.206219,-0.084001,0.990829,-0.401779,-0.592575,0.294609,-0.197311,-0.092535,0.996737,-0.407091,-0.584277,0.298215,-0.199956,-0.107735
7,0.989244,-0.382032,-0.609119,0.284283,-0.184773,-0.113671,0.986658,-0.384961,-0.616541,0.304481,-0.196935,-0.111692,0.993616,-0.383888,-0.610061,0.294501,-0.202581,-0.112435,0.986914,-0.386119,-0.611504,0.289572,-0.18376,-0.086915
8,0.98777,-0.362486,-0.621559,0.293311,-0.189159,-0.102962,0.985879,-0.375015,-0.628221,0.303443,-0.187945,-0.111469,0.991399,-0.359174,-0.623889,0.300098,-0.192694,-0.106374,0.991686,-0.366659,-0.622738,0.284888,-0.185391,-0.097093
9,0.988144,-0.34805,-0.630741,0.301571,-0.190695,-0.120354,0.979328,-0.348612,-0.639029,0.304429,-0.174814,-0.119101,0.98944,-0.350068,-0.646023,0.295619,-0.190194,-0.100521,0.985939,-0.337448,-0.63755,0.284749,-0.18253,-0.112258
10,0.989363,-0.323111,-0.655626,0.298132,-0.154906,-0.117819,0.985577,-0.330862,-0.652814,0.319061,-0.194372,-0.105935,0.974745,-0.327541,-0.656116,0.288959,-0.159899,-0.128349,0.988456,-0.32288,-0.655133,0.295161,-0.182145,-0.12454
11,0.976324,-0.313515,-0.667587,0.30152,-0.190092,-0.143374,0.971496,-0.313216,-0.667216,0.313807,-0.167605,-0.104478,0.981604,-0.314781,-0.666865,0.317917,-0.135991,-0.115533,0.974914,-0.314918,-0.663587,0.295965,-0.181006,-0.127419
